method;dataset;level;Weighted F1;Hierarchical F1;Macro F1;MCC;ARI;JSD Scaled;Overall Performance;Stability;Scalability
Starling;cHL_2_MIBI;level_3;0.2770179154216593;0.5861033285632826;0.1860104975528858;0.2296814482070598;0.1118581462035396;0.5801227384572956;0.20602463593061326;0.96041941167595;0.6010189930555556
Stratified sampler;cHL_2_MIBI;level_1;0.7690665625219733;;0.18504988676693;8.979913858044234e-05;-0.0004253045211567;0.7282591876022548;0.2474356653351959;0.9725328788994692;0.49999961805555554
Stratified sampler;cHL_2_MIBI;level_2;0.4071841314872434;;0.1824449712106877;-0.0003447615028203;-0.000348457323713;0.7516012157276899;0.19173377228095817;0.87971164407549;0.49999961805555554
Stratified sampler;cHL_2_MIBI;level_3;0.1057674711215747;0.3744012104090285;0.066992303919118;5.55333639442366e-05;0.0001654421462245;0.6088983367908909;0.10341339862266927;0.951884274700955;0.49999961805555554
Tacit;cHL_2_MIBI;level_1;0.8393050102883125;;0.4109342737550646;0.3431641122465021;0.4252419886456698;0.7001171878863713;0.4031419004844615;1.0;0.8689152083333334
Tacit;cHL_2_MIBI;level_2;0.7051261859547187;;0.6061399805122385;0.5321375280343483;0.303564440752057;0.8473091761209934;0.46643794785675613;1.0;0.8689152083333334
Tacit;cHL_2_MIBI;level_3;0.4872753263361677;0.6692267506814155;0.470378391479858;0.425682942081352;0.2187438408674974;0.7928714504230221;0.36982040024619134;1.0;0.8689152083333334
Tribus;cHL_2_MIBI;level_1;0.803024529955539;;0.3861099747679581;0.289447024285769;0.2227113997457526;0.7455047201072637;0.37087280299616354;0.557687936290626;0.7991861805555556
Tribus;cHL_2_MIBI;level_2;0.5809929613393175;;0.4594257731808587;0.4241675350669318;0.1309804630718094;0.6592906666873797;0.35927085251207924;0.6322311770530529;0.7991861805555556
Tribus;cHL_2_MIBI;level_3;0.442749937974416;0.5532838113762086;0.429962830652058;0.3913386292687484;0.1507003697878722;0.6286599193569544;0.3225955019659322;0.6861957688999079;0.7991861805555556
XGBoost;cHL_2_MIBI;level_1;0.891790895973487;;0.4956887635217645;0.5527300515005457;0.740650067003281;0.734897241660454;0.4998099807197369;0.8287179495856556;0.6248951736111111
XGBoost;cHL_2_MIBI;level_2;0.8796332937079641;;0.8152653316646793;0.7904663254808421;0.6858391746826611;0.9544296979629968;0.631286356152551;0.7849831819506554;0.6248951736111111
XGBoost;cHL_2_MIBI;level_3;0.7874524099399851;0.8679906333125773;0.7769534696173184;0.7590171512442545;0.5918368934222187;0.927459194913712;0.5918285646261352;0.70140709924568;0.6248951736111111
CellLENS_Lite;IMMUcan;level_1;0.7955859096814943;;0.5939051764058678;0.6960933756776553;0.561703941617872;0.8556144645785142;0.5329035070445952;0.9461081503161188;0.5955199305555556
CellLENS_Lite;IMMUcan;level_2;0.7647359843576369;;0.5920559879170739;0.6834797413615601;0.5905139274049954;0.850578869348946;0.5267754818672218;0.9531900860736432;0.5955199305555556
CellLENS_Lite;IMMUcan;level_3;0.6667966830981132;0.7025932195957006;0.4868788830598861;0.5972354656679132;0.613933546772117;0.7783643025542009;0.46602873908953146;0.9437523632354744;0.5955199305555556
FuseSOM;IMMUcan;level_1;0.8065539385194926;;0.6020360251796728;0.7123929602767078;0.5829188981517563;0.8552302736648997;0.5411955719463234;1.0;0.6230816319444444
FuseSOM;IMMUcan;level_2;0.769323915486562;;0.6003161735780186;0.6854721201846385;0.5850242469932904;0.8357545358650535;0.5273419692936511;1.0;0.6230816319444444
FuseSOM;IMMUcan;level_3;0.6408002020210466;0.70232901715174;0.335167152005994;0.580773521915954;0.6075084941883921;0.6982779209982382;0.418110197162617;1.0;0.6230816319444444
Astir;IMMUcan;level_1;0.6837577714239197;;0.3716156239084935;0.485448181576653;0.3477048361397243;0.564889368845177;0.37641711567745567;0.8259993001673545;0.8558428472222221
Astir;IMMUcan;level_2;0.660952250325731;;0.4025846868345469;0.4959195793882219;0.3630066265833445;0.5560718376283049;0.3812223639387349;0.8507413715368743;0.8558428472222221
Astir;IMMUcan;level_3;0.6349800910811004;0.5515933099131567;0.4580208298395067;0.4946087111495038;0.3880735088859602;0.528946424712866;0.3866421744471989;0.9040869485625256;0.8558428472222221
CellLENS_Full;IMMUcan;level_1;0.7663045626429188;;0.4392337266103521;0.650545285967705;0.5212110359462272;0.8190118769440125;0.4805428406474581;0.9412537821820902;0.125
CellLENS_Full;IMMUcan;level_2;0.7099170573491609;;0.4277593110276879;0.6126291611445293;0.5466428520334858;0.800058897095085;0.46140291942439826;0.9309383837379012;0.125
CellLENS_Full;IMMUcan;level_3;0.5728565670214485;0.6523909800314015;0.2997166272415845;0.4984430133841359;0.5666074480643594;0.6695361040499727;0.3769619071797213;0.9204972303104054;0.125
CellSighter;IMMUcan;level_1;0.8887253653316692;;0.7824759650618593;0.8223047824589065;0.7419655180797945;0.975984936880193;0.6396276418292269;0.9639262650584072;0.125
CellSighter;IMMUcan;level_2;0.8681453675218294;;0.7770417770880136;0.8102436243673088;0.7496439141372606;0.9720423466209622;0.6329769338200535;0.9683322820230876;0.125
CellSighter;IMMUcan;level_3;0.8285260498240751;0.7740358714951163;0.7152866877185357;0.7741237570511126;0.7745376259493255;0.9586893181450864;0.6074519851791382;0.9638023925261552;0.125
